question,answer,type,difficulty,link
Quel est ce championnat ?,Ligue 1 (France),recognize-championship,easy,/src/src/image/championship/ligue-1.png
Quel est ce championnat ? ,Ligue 2 (France),recognize-championship,easy,/src/src/image/championship/ligue-2.png
Quel est ce championnat ?,Liga (Espagne),recognize-championship,easy,/src/src/image/championship/laliga.png
Quel est ce championnat ?,Premier League (Angleterre),recognize-championship,easy,/src/src/image/championship/premier-league.png
Quel est ce championnat ?,Serie A (Italie),recognize-championship,easy,/src/src/image/championship/serie-a.png
Quel est ce championnat ?,Bundesliga (Allemagne),recognize-championship,easy,/src/src/image/championship/bundesliga.png
Quel est ce championnat ?,Primeira Liga (Portugal),recognize-championship,easy,/src/src/image/championship/primeira-liga.png
Quel est ce championnat ?,Jupiler Pro League (Belgique),recognize-championship,medium,/src/src/image/championship/challenger-pro-league.png
Quel est ce championnat ?,Eredivisie (Pays-bas),recognize-championship,medium,/src/src/image/championship/eredivisie.png
Quel est ce championnat ?,Super Lig (Turquie),recognize-championship,medium,/src/src/image/championship/super-lig.png
Quel est ce championnat ?,MLS (États-Unis et Canada),recognize-championship,medium,/src/src/image/championship/mls.png
Quel est ce championnat ?,Championship (Angleterre),recognize-championship,medium,/src/src/image/championship/championship.png
Quel est ce championnat ?,Super League (Suisse),recognize-championship,medium,/src/src/image/championship/super-league-suisse.png
Quel est ce championnat ?,2. Bundesliga (Allemagne),recognize-championship,medium,/src/src/image/championship/2-bundesliga.png
Quel est ce championnat ?,Brasileiro (Brésil),recognize-championship,medium,/src/src/image/championship/brasileiro.png
Quel est ce championnat ?,Premiership (Écosse),recognize-championship,medium,/src/src/image/championship/premiership.png
Quel est ce championnat ?,Super League (Grèce),recognize-championship,medium,/src/src/image/championship/super-league-grece.png
Quel est ce championnat ?,Super League (Chine),recognize-championship,hard,/src/src/image/championship/super-league-chine.png
Quel est ce championnat ?,Saudi Professional League (Arabie Saoudite),recognize-championship,hard,/src/src/image/championship/saudi-professional-league.png
Quel est ce championnat ?,Parva Liga (Bulgarie),recognize-championship,hard,/src/src/image/championship/parva-liga.png
Quel est ce championnat ?,Premier League (Russie),recognize-championship,hard,/src/src/image/championship/premier-league-russie.png
Quel est ce championnat ?,Primera Divisió (Andorre),recognize-championship,hard,/src/src/image/championship/primera-divisio.png
Quel est ce championnat ?,Bundesliga (Autriche),recognize-championship,hard,/src/src/image/championship/bundeslga-autriche.png
Quel est ce championnat ? ,J1 League (Japon),recognize-championship,hard,/src/src/image/championship/j1-league.png
Quel est ce championnat ?,Liga MX (Mexique),recognize-championship,hard,/src/src/image/championship/liga-mx.png
Quel est ce championnat ?,Prva liga (Slovénie),recognize-championship,hard,/src/src/image/championship/prva-liga.png
Quel est ce championnat ?,Botola Pro 1 (Maroc),recognize-championship,hard,/src/src/image/championship/botola-pro-1.png
C'est le maillot de quelle équipe ?,Équipe de France,recognize-jersey,easy,/src/src/image/jersey/france.png
C'est le maillot de quelle équipe ?,Brésil,recognize-jersey,easy,/src/src/image/jersey/bresil.png
C'est le maillot de quelle équipe ?,Real Madrid,recognize-jersey,easy,/src/src/image/jersey/real-madrid.png
C'est le maillot de quelle équipe ?,Barcelone,recognize-jersey,easy,/src/src/image/jersey/barcelone.png
C'est le maillot de quelle équipe ?,Paris Saint Germains,recognize-jersey,easy,/src/src/image/jersey/psg.png
C'est le maillot de quelle équipe ?,Manchester United,recognize-jersey,easy,/src/src/image/jersey/manchester-united.png
C'est le maillot de quelle équipe ?,Manchester City,recognize-jersey,easy,/src/src/image/jersey/manchester-city.png
C'est le maillot de quelle équipe ?,Juventus,recognize-jersey,easy,/src/src/image/jersey/juventus.png
C'est le maillot de quelle équipe ?,AC Milan,recognize-jersey,easy,/src/src/image/jersey/ac-milan.png
C'est le maillot de quelle équipe ?,Espagne,recognize-jersey,easy,/src/src/image/jersey/espagne.png
C'est le maillot de quelle équipe ?,Italie,recognize-jersey,easy,/src/src/image/jersey/italie.png
C'est le maillot de quelle équipe ?,Portugal,recognize-jersey,easy,/src/src/image/jersey/portugal.png
C'est le maillot de quelle équipe ?,Chelsea,recognize-jersey,easy,/src/src/image/jersey/cheslea.png
C'est le maillot de quelle équipe ?,Bayern Munich,recognize-jersey,easy,/src/src/image/jersey/bayern-munich.png
